"S.no","temperature","outlier"
1019,77.6,"No"
1020,77.59,"No"
1021,77.54666667,"No"
1022,77.5,"No"
1023,77.56833333,"No"
1024,77.80333333,"No"
1025,77.81,"No"
1026,77.70166667,"No"
1027,77.7,"No"
1028,77.7,"No"
1029,77.78,"No"
1030,77.96166667,"No"
1031,77.9,"No"
1032,77.9,"No"
1033,77.80166667,"No"
1034,77.72833333,"No"
1035,77.87666667,"No"
1036,77.95166667,"No"
1037,77.88,"No"
1038,77.80166667,"No"
1039,77.68,"No"
1040,77.6,"No"
1041,77.725,"No"
1042,77.85,"No"
1043,77.755,"No"
1044,77.70166667,"No"
1045,77.655,"No"
1046,77.6,"No"
1047,77.71666667,"No"
1048,77.9,"No"
1049,77.9,"No"
1050,77.845,"No"
1051,77.69333333,"No"
1052,77.64333333,"No"
1053,77.895,"No"
1054,77.99833333,"No"
1055,77.95166667,"No"
1056,77.80833333,"No"
1057,77.7,"No"
1058,77.83166667,"No"
1059,78.04,"No"
1060,78,"No"
1061,77.99833333,"No"
1062,77.875,"No"
1063,77.8,"No"
1064,77.925,"No"
1065,78,"No"
1066,77.985,"No"
1067,77.89833333,"No"
1068,77.75333333,"No"
1069,77.755,"No"
1070,77.97666667,"No"
1071,78.04,"No"
1072,77.91833333,"No"
1073,77.9,"No"
1074,77.84,"No"
1075,77.84666667,"No"
1076,78.05166667,"No"
1077,78.03166667,"No"
1078,77.955,"No"
1079,77.985,"No"
1080,77.93,"No"
1081,78.09166667,"No"
1082,78.285,"No"
1083,78.29666667,"No"
1084,78.24166667,"No"
1085,78.15833333,"No"
1086,78.125,"No"
1087,78.32666667,"No"
1088,78.465,"No"
1089,78.41833333,"No"
1090,78.4,"No"
1091,78.32666667,"No"
1092,78.33,"No"
1093,78.59166667,"No"
1094,78.66,"No"
1095,78.62833333,"No"
1096,78.58333333,"No"
1097,78.43666667,"No"
1098,78.45833333,"No"
1099,78.585,"No"
1100,78.49666667,"No"
1101,78.355,"No"
1102,78.125,"No"
1103,77.83333333,"No"
1104,77.71,"No"
1105,77.75,"No"
1106,77.61,"No"
1107,77.495,"No"
1108,77.295,"No"
1109,77.10333333,"No"
1110,77.18666667,"No"
1111,77.2,"No"
1112,77.12333333,"No"
1113,76.83166667,"No"
1114,76.54666667,"No"
1115,76.69833333,"No"
1116,76.82166667,"No"
1117,76.83166667,"No"
1118,76.70166667,"No"
1119,76.47666667,"No"
1120,76.52333333,"No"
1121,76.75833333,"No"
1122,76.845,"No"
1123,76.88166667,"No"
1124,76.71666667,"No"
1125,76.59333333,"No"
1126,76.65833333,"No"
1127,76.765,"No"
1128,76.82666667,"No"
1129,76.71,"No"
1130,76.6,"No"
1131,76.64333333,"No"
1132,76.79,"No"
1133,76.70333333,"No"
1134,76.685,"No"
1135,76.67333333,"No"
1136,76.63833333,"No"
1137,76.73166667,"No"
1138,76.7,"No"
1139,76.7,"No"
1140,76.64,"No"
1141,76.645,"No"
1142,76.75833333,"No"
1143,76.7,"No"
1144,76.63833333,"No"
1145,76.47333333,"No"
1146,76.25166667,"No"
1147,76.16333333,"No"
1148,76.01,"No"
1149,75.84833333,"No"
1150,75.50166667,"No"
1151,75.09333333,"No"
1152,74.90333333,"No"
1153,74.83833333,"No"
1154,74.8,"No"
1155,74.755,"No"
1156,74.59833333,"No"
1157,74.33833333,"No"
1158,74.34833333,"No"
1159,74.595,"No"
1160,74.75833333,"No"
1161,74.8,"No"
1162,74.75166667,"No"
1163,74.7,"No"
1164,74.84833333,"No"
1165,74.83666667,"No"
1166,74.15666667,"No"
1167,72.89,"No"
1168,76.135,"No"
1169,82.09833333,"No"
1170,83.00666667,"No"
1171,82.58666667,"No"
1172,82.20833333,"No"
1173,81.90166667,"No"
1174,81.58333333,"No"
1175,81.25833333,"No"
1176,80.94333333,"No"
1177,80.64166667,"No"
1178,80.33833333,"No"
1179,80.03,"No"
1180,79.76166667,"No"
1181,79.49,"No"
1182,79.20333333,"No"
1183,78.915,"No"
1184,78.675,"No"
1185,78.415,"No"
1186,78.14,"No"
1187,77.87333333,"No"
1188,77.61166667,"No"
1189,77.365,"No"
1190,77.10166667,"No"
1191,76.845,"No"
1192,76.585,"No"
1193,76.35,"No"
1194,76.12833333,"No"
1195,75.90666667,"No"
1196,75.685,"No"
1197,75.43,"No"
1198,75.19833333,"No"
1199,74.945,"No"
1200,74.69666667,"No"
1201,74.42166667,"No"
1202,74.15833333,"No"
1203,73.88166667,"No"
1204,73.61166667,"No"
1205,73.35,"No"
1206,73.08,"No"
1207,72.80166667,"No"
1208,72.525,"No"
1209,72.25666667,"No"
1210,71.98833333,"No"
1211,71.71333333,"No"
1212,71.445,"No"
1213,71.165,"No"
1214,70.89166667,"No"
1215,70.61666667,"No"
